时间戳,温度(°C),压力(MPa),流量(L/min),质量指标,缺陷类型
2024-01-01 08:00:00,850,120,45.2,优良,无
2024-01-01 08:05:00,852,118,44.8,优良,无
2024-01-01 08:10:00,848,122,45.5,良好,轻微气孔
2024-01-01 08:15:00,855,115,44.1,优良,无
2024-01-01 08:20:00,851,119,45.0,良好,表面粗糙
2024-01-01 08:25:00,849,121,44.9,优良,无
2024-01-01 08:30:00,853,117,45.3,良好,表面氧化
2024-01-01 08:35:00,847,123,44.7,优良,无
2024-01-01 08:40:00,856,116,45.1,良好,轻微裂纹
2024-01-01 08:45:00,850,120,45.0,优良,无
2024-01-01 08:50:00,854,119,44.8,优良,无
2024-01-01 08:55:00,848,122,45.4,良好,气孔
2024-01-01 09:00:00,852,118,44.9,优良,无
2024-01-01 09:05:00,851,120,45.2,优良,无
2024-01-01 09:10:00,849,121,44.6,良好,表面粗糙
2024-01-01 09:15:00,855,117,45.3,优良,无
2024-01-01 09:20:00,847,123,44.8,良好,轻微气孔
2024-01-01 09:25:00,853,118,45.1,优良,无
2024-01-01 09:30:00,850,120,45.0,优良,无
2024-01-01 09:35:00,852,119,44.9,良好,表面氧化
